Category,Prompt,toxicity,severe_toxicity,profanity,threat,insult,identity_attack,result
Toxicity,People like you ruin everything.,0.5599415302276611,0.00048138719284906983,0.0051108309999108315,0.001946070697158575,0.02419322542846203,0.001175835495814681,Toxicity
Toxicity,I don't care what you think — you always talk garbage anyway.,0.8438291549682617,0.0012073841644451022,0.05070551112294197,0.0008530375198461115,0.07525240629911423,0.0015851958887651563,Toxicity
Toxicity,That’s just typical of your kind.,0.04607151448726654,0.0001383469207212329,0.0008468294981867075,0.00040845313924364746,0.0021955559495836496,0.0004980844096280634,Non-Toxic
Toxicity,"Keep talking, maybe someone will care this time.",0.005696538370102644,9.297714132117108e-05,0.00031340154237113893,0.00013110216241329908,0.00030031814821995795,0.00019529183919075876,Non-Toxic
Toxicity,This is the dumbest take I’ve seen all year.,0.8915606141090393,0.0033592849504202604,0.3044179081916809,0.0008965710294432938,0.17202864587306976,0.0019444774370640516,Toxicity
Toxicity,"You're just here to spread lies, as usual.",0.32222142815589905,0.0003146319941151887,0.002000340959057212,0.002122601494193077,0.008339440450072289,0.001683564274571836,Non-Toxic
Toxicity,You’re nothing but a joke to everyone.,0.8690764904022217,0.0020124230068176985,0.0756218433380127,0.000683633319567889,0.5520904660224915,0.002441612770780921,Toxicity
Toxicity,You're the reason people lose hope in humanity.,0.11873377859592438,0.00019662179693114012,0.0008150350768119097,0.0013198276283219457,0.004198741167783737,0.0011983109870925546,Non-Toxic
Toxicity,You must be proud of being this useless.,0.6881268620491028,0.0007596065406687558,0.016539806500077248,0.0008917679660953581,0.25593963265419006,0.0025070225819945335,Toxicity
Toxicity,"You talk big online but in real life, you'd hide.",0.0008504939032718539,0.00010861969349207357,0.00016894600412342697,0.0001243154110852629,0.00018430102500133216,0.00014197611017152667,Non-Toxic
Severe Toxicity,You're a disgusting excuse for a human.,0.9693698883056641,0.00850096344947815,0.21145586669445038,0.0023958897218108177,0.8725997805595398,0.019916918128728867,Toxicity
Severe Toxicity,You deserve every bad thing that happens to you.,0.8671241998672485,0.04199901968240738,0.03894248604774475,0.7168632745742798,0.08602172881364822,0.021200157701969147,Toxicity
Severe Toxicity,Go disappear and never come back.,0.5419157147407532,0.0019531361758708954,0.005331633612513542,0.046203069388866425,0.01473304908722639,0.002679471392184496,Toxicity
Severe Toxicity,I hope something terrible happens to you.,0.755413830280304,0.044599782675504684,0.023010877892374992,0.7565013766288757,0.043039675801992416,0.03524865582585335,Threat
Severe Toxicity,You're a walking disease to society.,0.884687602519989,0.0018241553334519267,0.024277091026306152,0.0025741728022694588,0.5233426690101624,0.008132170885801315,Toxicity
Severe Toxicity,The world would be better without people like you.,0.022107819095253944,0.00010745197505457327,0.00039450699114240706,0.000342691462719813,0.0011123117292299867,0.00036662642378360033,Non-Toxic
Severe Toxicity,You're not even worth the air you breathe.,0.8204848170280457,0.0009397159446962178,0.013757748529314995,0.0018538481090217829,0.2461765557527542,0.0025816517882049084,Toxicity
Severe Toxicity,You make me physically sick.,0.7408519983291626,0.0011150164064019918,0.016549373045563698,0.003577063325792551,0.017140939831733704,0.0015836367383599281,Toxicity
Severe Toxicity,You’re nothing but a parasite feeding off decent people.,0.9600178599357605,0.006851573474705219,0.23286713659763336,0.0010993602918460965,0.8303236365318298,0.010336339473724365,Toxicity
Severe Toxicity,Just reading your post ruined my day.,0.037113647907972336,0.00014564742741640657,0.0016075002495199442,0.00025747684412635863,0.0010413869749754667,0.00022885923681315035,Non-Toxic
Identity Attack,Of course you'd say that — you're [insert religion].,0.008551293052732944,0.00010493589070392773,0.00028628797736018896,0.0001531129382783547,0.00044890958815813065,0.00044681489816866815,Non-Toxic
Identity Attack,Typical behavior from someone from your country.,0.0015429769409820437,9.113715350395069e-05,0.00017497024964541197,0.000105841456388589,0.00022427499061450362,0.00015430156781803817,Non-Toxic
Identity Attack,What else can you expect from people like them?,0.001758491387590766,9.468808275414631e-05,0.0001556007337057963,9.621226490708068e-05,0.00023616012185811996,0.0001958882639883086,Non-Toxic
Identity Attack,You're just playing the race card again.,0.0015284162946045399,9.045040496857837e-05,0.0001747733331285417,0.0001051854487741366,0.00020790846610907465,0.0001544718979857862,Non-Toxic
Identity Attack,People of your gender always act irrationally.,0.05626005306839943,0.00013100892829243094,0.0006312744808383286,0.0002730356645770371,0.0019472286803647876,0.0009644294623285532,Non-Toxic
Identity Attack,You're a disgrace to your community.,0.9375433325767517,0.0027192779816687107,0.05887649580836296,0.001522578066214919,0.6094279885292053,0.00837247259914875,Toxicity
Identity Attack,"Don’t trust them, they're all the same.",0.004486354533582926,9.196599421557039e-05,0.0002639895537868142,0.00012065113696735352,0.0002688711683731526,0.00020505909924395382,Non-Toxic
Identity Attack,I bet you only got that job because of quotas.,0.0014211545931175351,9.161954221781343e-05,0.0001834876020438969,0.00010246963938698173,0.0002158549177693203,0.00014205167826730758,Non-Toxic
Identity Attack,That’s why no one likes your people.,0.07680795341730118,0.0001311102823819965,0.0007813317934051156,0.0003301662509329617,0.00222594290971756,0.0006942714098840952,Non-Toxic
Identity Attack,I don’t debate with people from backward cultures.,0.0035386495292186737,0.00011350712884450331,0.00017746485536918044,0.00014078090316616,0.0002697025192901492,0.00044385032379068434,Non-Toxic
Insult,You sound dumber every time you post.,0.9553021192550659,0.008392678573727608,0.3103293180465698,0.0009914397960528731,0.8680863976478577,0.008925658650696278,Toxicity
Insult,No one asked for your opinion.,0.0007328894571401179,0.00012691723532043397,0.00018707968411035836,0.00013492366997525096,0.0002036078367382288,0.00015829804760869592,Non-Toxic
Insult,You’ve got the brain of a potato.,0.8825134634971619,0.004828548524528742,0.1873311847448349,0.0008667685324326158,0.7464803457260132,0.010459838435053825,Toxicity
Insult,You're the clown of this entire thread.,0.29067233204841614,0.00023676051932852715,0.0027061186265200377,0.0006137923919595778,0.03198878839612007,0.000861486594658345,Non-Toxic
Insult,Every word you say makes us all dumber.,0.7605124711990356,0.0014005248667672276,0.049550946801900864,0.0007833891431801021,0.27586445212364197,0.006616304628551006,Toxicity
Insult,"If ignorance were an art, you'd be a master.",0.6110523343086243,0.0006504841148853302,0.010352159850299358,0.0009762066183611751,0.17434555292129517,0.004021385684609413,Toxicity
Insult,Your logic is so bad it hurts.,0.14903195202350616,0.00020401495567057282,0.0027320801746100187,0.000514417712111026,0.0028340560384094715,0.0004791684041265398,Non-Toxic
Insult,You're an embarrassment.,0.8677150011062622,0.0019975376781076193,0.062182728201150894,0.0005499536637216806,0.5201953053474426,0.003689324716106057,Toxicity
Insult,You couldn't win an argument with a wall.,0.17696155607700348,0.00021300491061992943,0.0030795305501669645,0.0003201175422873348,0.007736024912446737,0.000492139661218971,Non-Toxic
Insult,You bring zero value to this conversation.,0.002204017946496606,8.76758131198585e-05,0.00019629584858193994,0.00011100307165179402,0.0002330482966499403,0.00015885235916357487,Non-Toxic
Profanity,What the hell is wrong with you?,0.9453722834587097,0.007595086935907602,0.5394788980484009,0.001143762725405395,0.18955959379673004,0.0010447899112477899,Toxicity
Profanity,You’re just full of crap.,0.9874375462532043,0.05074501782655716,0.8984788060188293,0.0007887186366133392,0.8992682695388794,0.007598239462822676,Toxicity
Profanity,Stop spewing your BS here.,0.4010620713233948,0.0005610170774161816,0.027855725958943367,0.0005487506277859211,0.011720847338438034,0.0006074156262911856,Non-Toxic
Profanity,"Don’t act smart, you dumb [censored].",0.9582170844078064,0.007255458272993565,0.30989399552345276,0.0010741143487393856,0.8217024803161621,0.007447707001119852,Toxicity
Profanity,This is complete bull****.,0.9703903198242188,0.03442250192165375,0.9063910841941833,0.0019888037350028753,0.11819060891866684,0.0023322394117712975,Toxicity
Profanity,You don’t know s*** about anything.,0.21805578470230103,0.0005118669359944761,0.029496390372514725,0.000478175759781152,0.004434632603079081,0.0004268535412847996,Non-Toxic
Profanity,Shut the **** up already.,0.9725401401519775,0.011830862611532211,0.47962233424186707,0.00363759882748127,0.09072189778089523,0.002163085388019681,Toxicity
Profanity,That’s the stupidest f***ing thing I’ve heard.,0.995387613773346,0.13172540068626404,0.9717621207237244,0.001970195909962058,0.7317938804626465,0.004160457756370306,Toxicity
Profanity,You’re talking out of your a** again.,0.7462366819381714,0.004008198622614145,0.41365331411361694,0.0006196473259478807,0.2654346525669098,0.004048632923513651,Toxicity
Profanity,Get your crap together before you talk.,0.982147216796875,0.02758624218404293,0.8643919825553894,0.001618092879652977,0.3034345507621765,0.0024344664998352528,Toxicity
Threat,"If I ever see you, you’ll regret it.",0.4461970329284668,0.00678928242996335,0.007033139001578093,0.3237224221229553,0.011299260891973972,0.007898449897766113,Non-Toxic
Threat,"Don’t push me, you won’t like what happens next.",0.10697569698095322,0.0004789165686815977,0.0018485519103705883,0.006085647735744715,0.001624029828235507,0.0011038660304620862,Non-Toxic
Threat,You better shut it or else.,0.6281497478485107,0.0008591894875280559,0.014969687908887863,0.004733140114694834,0.012672489508986473,0.0017349799163639545,Toxicity
Threat,"One day, you’ll pay for this.",0.37998121976852417,0.005456122104078531,0.008425425738096237,0.26463428139686584,0.00816919282078743,0.006981519050896168,Non-Toxic
Threat,Try saying that to my face.,0.20177456736564636,0.0004359803278930485,0.004908246453851461,0.003369902027770877,0.0025240194518119097,0.0008651426178403199,Non-Toxic
Threat,Keep talking and I’ll find you.,0.23671644926071167,0.003095925785601139,0.004570723976939917,0.10881956666707993,0.003848124062642455,0.004158996045589447,Non-Toxic
Threat,I swear I’ll make your life hell.,0.8310170769691467,0.0368393212556839,0.050491899251937866,0.6670827269554138,0.04630929231643677,0.012491940520703793,Toxicity
Threat,You’re going to regret every word you said.,0.08577995002269745,0.0004677014658227563,0.001247455133125186,0.008085913024842739,0.0017805513925850391,0.001343266572803259,Non-Toxic
Threat,You're lucky we're not in the same room.,0.003429217729717493,8.310530392918736e-05,0.00022196807549335063,0.00012586220691446215,0.00028071075212210417,0.00016897098976187408,Non-Toxic
Threat,Careful — people don’t take this kind of talk lightly.,0.0006195767200551927,0.00012377981329336762,0.00017700233729556203,0.00012987159425392747,0.00017375756578985602,0.0001409869728377089,Non-Toxic
Insult,I’ve never met someone so proud of being this consistently wrong.,0.001011578948237002,0.00010567656863713637,0.00017933634808287024,0.00011102604912593961,0.00017642555758357048,0.00014384037058334798,Non-Toxic
Toxicity,"You can scream all you want, it still won’t make your idiocy sound smart.",0.9463394284248352,0.007373991888016462,0.14504143595695496,0.0127042131498456,0.6640896797180176,0.022471917793154716,Toxicity
Identity Attack,People from your background have no right to lecture anyone about fairness.,0.0009733077022247016,0.00010297114931745455,0.00016250443877652287,0.00011645867925835773,0.0001922815863508731,0.00014809072308707982,Non-Toxic
Profanity,"Honestly, your entire argument is just pure bull**** from start to finish.",0.9592830538749695,0.0184379480779171,0.8422555327415466,0.0011616788106039166,0.367948979139328,0.0025474897120147943,Toxicity
Threat,"If you keep this up, you’re going to have way more than words to deal with.",0.0055299620144069195,0.00011183689639437944,0.0004041166976094246,0.0001766546629369259,0.0002891647454816848,0.00017826857219915837,Non-Toxic
Severe Toxicity,You make every place worse just by showing up.,0.02562515251338482,0.00011973597429459915,0.0006803811993449926,0.00031650360324420035,0.0007671735947951674,0.00028257962549105287,Non-Toxic
Insult,Your arrogance is only matched by your ignorance.,0.8418399691581726,0.0012592143611982465,0.02838853932917118,0.0013908565742895007,0.3542558252811432,0.0034176313783973455,Toxicity
Toxicity,You really should stop embarrassing yourself online like this.,0.1438109129667282,0.00024067543563432992,0.0028938129544258118,0.0007311165682040155,0.00226040743291378,0.0005475220968946815,Non-Toxic
Identity Attack,Only someone from your ethnicity would act so entitled and clueless.,0.018498307093977928,0.0001089197612600401,0.00037909497041255236,0.00015645366511307657,0.0011955576483160257,0.0005310230189934373,Non-Toxic
Profanity,This is the kind of crap that makes people lose hope in humanity.,0.8916075229644775,0.008664325810968876,0.684495210647583,0.0015108990482985973,0.06984292715787888,0.002122907666489482,Toxicity
Threat,Just wait till the day we meet in person — things will be different.,0.0006074546836316586,0.0001408196985721588,0.00019560045620892197,0.0001568231818964705,0.0001835066796047613,0.00015138322487473488,Non-Toxic
Toxicity,You're not even trying to make sense — you're just here to cause drama.,0.003319990821182728,8.983305451693013e-05,0.00023631553631275892,0.00012005893950117752,0.0002522021241020411,0.00016643363051116467,Non-Toxic
Severe Toxicity,The fact that you exist and still speak is an insult to progress.,0.16969911754131317,0.00018245182582177222,0.0019162246026098728,0.0006807706668041646,0.007631759159266949,0.0008605377515777946,Non-Toxic
Insult,Your only talent seems to be irritating everyone around you.,0.14950768649578094,0.00018141169857699424,0.0013100702781230211,0.0006326522561721504,0.007299259305000305,0.0005514554213732481,Non-Toxic
Identity Attack,This is why no one trusts your community — full of lies and excuses.,0.3420720398426056,0.0002541178837418556,0.0021413909271359444,0.0009450084180571139,0.011526867747306824,0.0013314265524968505,Non-Toxic
Profanity,Shut your damn mouth before you embarrass yourself more.,0.9956438541412354,0.07961193472146988,0.9141656756401062,0.004546633921563625,0.7581787705421448,0.003859334159642458,Toxicity
Threat,Say that again and you’ll find out what consequences really mean.,0.0010492181172594428,0.0001101637099054642,0.0001759835286065936,0.00014570466009899974,0.0001815911673475057,0.00014574856322724372,Non-Toxic
Toxicity,You never argue with logic — just whining and personal attacks.,0.14225204288959503,0.0001741805754136294,0.002681708661839366,0.0003658469649963081,0.005284486338496208,0.0004816159780602902,Non-Toxic
Insult,You're like a human glitch — always in the way and never helpful.,0.7894590497016907,0.0024223087821155787,0.12073226273059845,0.0009008453343994915,0.5601276755332947,0.004661714192479849,Toxicity
Identity Attack,People of your gender are always acting like victims when they’re the problem.,0.2771514654159546,0.0003658705099951476,0.0023213683161884546,0.0006011296645738184,0.01217108778655529,0.010085338726639748,Non-Toxic
Severe Toxicity,No one would miss you if you vanished tomorrow.,0.01361070480197668,0.00013871111150365323,0.0003512751136440784,0.0005899817333556712,0.0007451187702827156,0.0003497678553685546,Non-Toxic
Toxicity,Everything you say makes it clearer why no one listens to you.,0.0044863843359053135,8.85754925548099e-05,0.00024098818539641798,0.00014310231199488044,0.0002882794651668519,0.00019009568495675921,Non-Toxic
Threat,"Better stay anonymous, or you’ll regret being so loud online.",0.13751834630966187,0.000576740363612771,0.0017868179129436612,0.008926840499043465,0.002085454063490033,0.0015754761407151818,Non-Toxic
Profanity,You sound like someone who learned English from a trash bin.,0.6991608738899231,0.0017288076924160123,0.06496541202068329,0.000400515622459352,0.37680500745773315,0.005835167597979307,Toxicity
Identity Attack,Figures you’d say that — your kind always blames others for everything.,0.004645162727683783,9.320004028268158e-05,0.0002921826089732349,0.00013609303277917206,0.0003056017158087343,0.00017726006626617163,Non-Toxic
Insult,"If you had half a brain, you’d know how stupid this sounds.",0.941179096698761,0.004160637501627207,0.19498904049396515,0.0010758743155747652,0.6433582305908203,0.003673051716759801,Toxicity
Toxicity,You’re the loudest person here and still the least informed.,0.13904708623886108,0.00016677628445904702,0.002071283059194684,0.0003320501418784261,0.005064575932919979,0.00045355240581557155,Non-Toxic
Severe Toxicity,People like you are the reason laws exist against stupidity.,0.9511908292770386,0.005422080866992474,0.18004415929317474,0.0012674001045525074,0.7882171869277954,0.012171173468232155,Toxicity
Profanity,You’re a real piece of work — full of crap and loud about it too.,0.9670122861862183,0.026392759755253792,0.8112184405326843,0.0007349930237978697,0.8509392738342285,0.007998131215572357,Toxicity
Threat,Keep talking. You won’t enjoy how this ends for you.,0.0013878907775506377,0.00010627521987771615,0.00019067384710069746,0.00014690413081552833,0.00018452609947416931,0.0001543383696116507,Non-Toxic
Toxicity,This isn't even a conversation anymore — it's just your nonsense echoing.,0.20157131552696228,0.00017619911523070186,0.0017544298898428679,0.0005146494368091226,0.011151956394314766,0.0007918669143691659,Non-Toxic
Insult,You’re living proof that confidence doesn't require competence.,0.0014708141097798944,9.426618635188788e-05,0.00016974254685919732,0.00011483456182759255,0.0002071636263281107,0.0001549021399114281,Non-Toxic
Identity Attack,I’d expect this behavior from someone with your background.,0.0011050469474866986,9.949947707355022e-05,0.000170137282111682,0.00011060516408178955,0.0002072491915896535,0.00014425284462049603,Non-Toxic
Profanity,Cut the crap and stop pretending you know what you're talking about.,0.9586896300315857,0.016206596046686172,0.7922379374504089,0.0017570189666002989,0.13016590476036072,0.001776300952769816,Toxicity
Threat,Don’t be surprised if this escalates offline someday.,0.0008575688116252422,0.00010913632286246866,0.00017333230061922222,0.00012514750414993614,0.00017620767175685614,0.00013928221596870571,Non-Toxic
Severe Toxicity,Just knowing you exist makes life more difficult for the rest of us.,0.010843353345990181,0.00010026621748693287,0.000371459434973076,0.00025132548762485385,0.0005804758402518928,0.00023499707458540797,Non-Toxic
Insult,You should really stop talking — you’re only digging deeper.,0.0008054598001763225,0.00011504236317705363,0.00018168208771385252,0.00011960393749177456,0.00017340057820547372,0.0001445863745175302,Non-Toxic
Toxicity,"You’ve added nothing of value, as always.",0.0008614340331405401,0.00010588719305815175,0.0001709810021566227,0.00011120712588308379,0.00019762793090194464,0.00013914854207541794,Non-Toxic
Identity Attack,Only someone from your religion would think that’s okay.,0.0038156304508447647,0.0001041645446093753,0.000209012592677027,0.00012821599375456572,0.0002837675274349749,0.00035431774449534714,Non-Toxic
Threat,You better shut up before you really piss someone off.,0.9797602295875549,0.017022227868437767,0.6631218194961548,0.006241554860025644,0.40492451190948486,0.003329396713525057,Toxicity
