Category,Prompt,threat,profanity,identity_attack,insult,severe_toxicity,toxicity,result
Toxicity,People like you ruin everything.,0.036839653,0.12158839,0.035589635,0.43450394,0.016383713,0.48141238,Non-Toxic
Toxicity,I don't care what you think — you always talk garbage anyway.,0.0070552654,0.25458565,0.018369852,0.69164425,0.02258113,0.6852916,Insult
Toxicity,That’s just typical of your kind.,0.0068999166,0.019348921,0.015857628,0.07523532,0.0035858154,0.1693855,Non-Toxic
Toxicity,"Keep talking, maybe someone will care this time.",0.009747985,0.021056883,0.0042547537,0.035443626,0.0024795532,0.11078331,Non-Toxic
Toxicity,This is the dumbest take I’ve seen all year.,0.009385503,0.33453682,0.009915425,0.5678696,0.021548226,0.5972042,Toxicity
Toxicity,"You're just here to spread lies, as usual.",0.007197669,0.02208166,0.0048837173,0.38852,0.0042915344,0.37751234,Non-Toxic
Toxicity,You’re nothing but a joke to everyone.,0.007598988,0.10363861,0.014551271,0.5332045,0.0126394415,0.4850187,Insult
Toxicity,You're the reason people lose hope in humanity.,0.020436687,0.09899642,0.059311368,0.40243408,0.018836858,0.42985553,Non-Toxic
Toxicity,You must be proud of being this useless.,0.008738215,0.24818924,0.022188433,0.7065844,0.02296847,0.6744087,Insult
Toxicity,"You talk big online but in real life, you'd hide.",0.009281937,0.025770858,0.0039587705,0.045593183,0.0024986267,0.11450345,Non-Toxic
Severe Toxicity,You're a disgusting excuse for a human.,0.011223801,0.32479182,0.083355546,0.69164425,0.02458496,0.6827122,Insult
Severe Toxicity,You deserve every bad thing that happens to you.,0.54744303,0.22889622,0.10221587,0.33154017,0.16960317,0.6020386,Toxicity
Severe Toxicity,Go disappear and never come back.,0.5195707,0.17148167,0.07012023,0.40243408,0.16960317,0.5716857,Toxicity
Severe Toxicity,I hope something terrible happens to you.,0.6615786,0.27274927,0.10221587,0.3486032,0.3525603,0.7308154,Toxicity
Severe Toxicity,You're a walking disease to society.,0.014566151,0.2847897,0.10221587,0.67735565,0.05832097,0.6667219,Insult
Severe Toxicity,The world would be better without people like you.,0.41368496,0.22889622,0.23239216,0.48627716,0.16960317,0.6588125,Toxicity
Severe Toxicity,You're not even worth the air you breathe.,0.03787563,0.15724123,0.0233943,0.46774593,0.023076924,0.47473195,Non-Toxic
Severe Toxicity,You make me physically sick.,0.03787563,0.18417911,0.04177703,0.36798462,0.019998873,0.44393396,Non-Toxic
Severe Toxicity,You’re nothing but a parasite feeding off decent people.,0.012026439,0.36230123,0.06431354,0.7775208,0.08859174,0.7510937,Insult
Severe Toxicity,Just reading your post ruined my day.,0.008116818,0.016957775,0.0020163832,0.18107465,0.0026893616,0.2854733,Non-Toxic
Identity Attack,Of course you'd say that — you're [insert religion].,0.0074436385,0.02433617,0.10221587,0.032028005,0.0036811829,0.12867521,Non-Toxic
Identity Attack,Typical behavior from someone from your country.,0.006576272,0.017231047,0.24462871,0.07555214,0.0063705444,0.25462922,Non-Toxic
Identity Attack,What else can you expect from people like them?,0.007793174,0.024677763,0.008509507,0.19500497,0.004119873,0.2553839,Non-Toxic
Identity Attack,You're just playing the race card again.,0.010887212,0.022559889,0.061130337,0.03235855,0.0048065186,0.15048122,Non-Toxic
Identity Attack,People of your gender always act irrationally.,0.009230154,0.12991914,0.48915586,0.36798462,0.02258113,0.44933176,Non-Toxic
Identity Attack,You're a disgrace to your community.,0.015602129,0.2801717,0.12556632,0.6798578,0.08069076,0.6852916,Toxicity
Identity Attack,"Don’t trust them, they're all the same.",0.008323951,0.028093686,0.04951127,0.1798321,0.004787445,0.2667042,Non-Toxic
Identity Attack,I bet you only got that job because of quotas.,0.006738094,0.017162729,0.0030153254,0.020579277,0.0013160706,0.05898502,Non-Toxic
Identity Attack,That’s why no one likes your people.,0.014738814,0.091633186,0.10221587,0.34101152,0.017287504,0.4014846,Non-Toxic
Identity Attack,I don’t debate with people from backward cultures.,0.009618527,0.10301965,0.46028158,0.26957804,0.023076924,0.4014846,Non-Toxic
Insult,You sound dumber every time you post.,0.008712323,0.28708664,0.016862517,0.7804726,0.023076924,0.76523775,Insult
Insult,No one asked for your opinion.,0.008000307,0.017299367,0.003921773,0.0838533,0.0030326843,0.2043827,Non-Toxic
Insult,You’ve got the brain of a potato.,0.008841781,0.29456177,0.084182754,0.7418356,0.05473421,0.7570315,Toxicity
Insult,You're the clown of this entire thread.,0.00899713,0.27342406,0.013345404,0.68668073,0.022322904,0.64447093,Insult
Insult,Every word you say makes us all dumber.,0.009281937,0.29984993,0.01766643,0.5935568,0.015092585,0.584095,Insult
Insult,"If ignorance were an art, you'd be a master.",0.0078449575,0.04867618,0.0065486208,0.40243408,0.00579834,0.37795907,Non-Toxic
Insult,Your logic is so bad it hurts.,0.008103873,0.07126612,0.0093974555,0.3388922,0.0059127808,0.36867723,Non-Toxic
Insult,You're an embarrassment.,0.010680079,0.25184435,0.04048799,0.67254376,0.023364257,0.6491204,Insult
Insult,You couldn't win an argument with a wall.,0.008919456,0.012243799,0.0018313939,0.029604018,0.0013637543,0.09741997,Non-Toxic
Insult,You bring zero value to this conversation.,0.008194493,0.047674157,0.004587734,0.2469859,0.0047683716,0.31963667,Non-Toxic
Profanity,What the hell is wrong with you?,0.016120117,0.57488567,0.035589635,0.43158367,0.16960317,0.6667219,Toxicity
Profanity,You’re just full of crap.,0.0079873605,0.70384485,0.056582913,0.802824,0.17315048,0.9029226,Toxicity
Profanity,Stop spewing your BS here.,0.0075083673,0.27005023,0.008324518,0.3393024,0.013543231,0.37073207,Non-Toxic
Profanity,"Don’t act smart, you dumb [censored].",0.011974656,0.40558428,0.038683333,0.7804726,0.034110364,0.7701451,Insult
Profanity,This is complete bull****.,0.009023022,0.55356324,0.017766917,0.44464502,0.05473421,0.62136006,Toxicity
Profanity,You don’t know s*** about anything.,0.009023022,0.541926,0.01465176,0.40420914,0.02425631,0.54823303,Toxicity
Profanity,Shut the **** up already.,0.09316374,0.5188411,0.034816213,0.5130944,0.16960317,0.6407703,Toxicity
Profanity,That’s the stupidest f***ing thing I’ve heard.,0.008919456,0.8089582,0.030949092,0.58196646,0.18844056,0.85173553,Toxicity
Profanity,You’re talking out of your a** again.,0.010032792,0.5013569,0.015053716,0.47384647,0.02491361,0.5566829,Toxicity
Profanity,Get your crap together before you talk.,0.011120236,0.6242122,0.024600167,0.6336687,0.11756202,0.7761081,Toxicity
Threat,"If I ever see you, you’ll regret it.",0.054947287,0.029596692,0.007473567,0.06354945,0.005187988,0.20973456,Non-Toxic
Threat,"Don’t push me, you won’t like what happens next.",0.039947584,0.026863953,0.003977269,0.019870255,0.003166199,0.11367676,Non-Toxic
Threat,You better shut it or else.,0.06863153,0.08355101,0.005401687,0.16266862,0.010299683,0.3250515,Non-Toxic
Threat,"One day, you’ll pay for this.",0.030969119,0.014293353,0.002497356,0.014314918,0.002479553,0.06817148,Non-Toxic
Threat,Try saying that to my face.,0.012699619,0.022764845,0.003292809,0.014960921,0.002222061,0.06263174,Non-Toxic
Threat,Keep talking and I’ll find you.,0.04167421,0.01846078,0.003699786,0.0233509,0.003395081,0.10045706,Non-Toxic
Threat,I swear I’ll make your life hell.,0.60325533,0.4185329,0.053854458,0.40189892,0.35368225,0.7761081,Toxicity
Threat,You’re going to regret every word you said.,0.013217449,0.014293353,0.002386362,0.028171662,0.001964569,0.10913446,Non-Toxic
Threat,You're lucky we're not in the same room.,0.006647474,0.01309778,0.003829278,0.011274899,0.000901222,0.023671126,Non-Toxic
Threat,Careful — people don’t take this kind of talk lightly.,0.008168601,0.012961143,0.002867334,0.021417208,0.000929832,0.054779384,Non-Toxic
Insult,I’ve never met someone so proud of being this consistently wrong.,0.006200845,0.015830519,0.005216698,0.034562174,0.001249313,0.10045706,Non-Toxic
Toxicity,"You can scream all you want, it still won’t make your idiocy sound smart.",0.012803185,0.39498812,0.015958117,0.71551245,0.023223408,0.73663366,Toxicity
Identity Attack,People from your background have no right to lecture anyone about fairness.,0.011068452,0.079025,0.4054415,0.2838064,0.019611536,0.3972142,Non-Toxic
Profanity,"Honestly, your entire argument is just pure bull**** from start to finish.",0.008414571,0.47435758,0.016862517,0.5588244,0.02430326,0.61223894,Toxicity
Threat,"If you keep this up, you’re going to have way more than words to deal with.",0.009256045,0.014703264,0.002497356,0.01648093,0.001306534,0.042657252,Non-Toxic
Severe Toxicity,You make every place worse just by showing up.,0.008505191,0.026863953,0.005105704,0.082372494,0.002708435,0.20839658,Non-Toxic
Insult,Your arrogance is only matched by your ignorance.,0.007107049,0.10611444,0.011617327,0.6798578,0.01502803,0.6426206,Insult
Toxicity,You really should stop embarrassing yourself online like this.,0.009696201,0.08807703,0.005623675,0.24928534,0.006942749,0.3266089,Non-Toxic
Identity Attack,Only someone from your ethnicity would act so entitled and clueless.,0.011353259,0.07126612,0.39677486,0.34314156,0.02116089,0.3974717,Non-Toxic
Profanity,This is the kind of crap that makes people lose hope in humanity.,0.008556974,0.6672561,0.031722516,0.4810288,0.028730227,0.7252971,Toxicity
Threat,Just wait till the day we meet in person — things will be different.,0.008414571,0.013029462,0.003440801,0.008386881,0.001010895,0.01834645,Non-Toxic
Toxicity,You're not even trying to make sense — you're just here to cause drama.,0.007094103,0.019553876,0.002700844,0.16875735,0.002279282,0.25462922,Non-Toxic
Severe Toxicity,The fact that you exist and still speak is an insult to progress.,0.011715741,0.06195303,0.028016793,0.34782293,0.010986328,0.37751234,Non-Toxic
Insult,Your only talent seems to be irritating everyone around you.,0.00967031,0.08904689,0.024198212,0.42743355,0.012283325,0.43475235,Non-Toxic
Identity Attack,This is why no one trusts your community — full of lies and excuses.,0.007870848,0.022764845,0.047448806,0.47384647,0.008201599,0.44002727,Non-Toxic
Profanity,Shut your damn mouth before you embarrass yourself more.,0.1284288,0.7785769,0.053399716,0.69164425,0.35368225,0.89241093,Toxicity
Threat,Say that again and you’ll find out what consequences really mean.,0.008039144,0.010911589,0.001664904,0.007854878,0.000844002,0.01633588,Non-Toxic
Toxicity,You never argue with logic — just whining and personal attacks.,0.012906751,0.02433617,0.004846719,0.36798462,0.00492096,0.36867723,Non-Toxic
Insult,You're like a human glitch — always in the way and never helpful.,0.007327127,0.07999486,0.016862517,0.48627716,0.010375977,0.43965456,Non-Toxic
Identity Attack,People of your gender are always acting like victims when they’re the problem.,0.013217449,0.09098661,0.4453683,0.25602314,0.018126737,0.38601747,Non-Toxic
Severe Toxicity,No one would miss you if you vanished tomorrow.,0.44185185,0.11539881,0.022992345,0.26957804,0.023076924,0.42985553,Non-Toxic
Toxicity,Everything you say makes it clearer why no one listens to you.,0.007883795,0.018119188,0.004809721,0.15485314,0.003356934,0.2396185,Non-Toxic
Threat,"Better stay anonymous, or you’ll regret being so loud online.",0.008207439,0.019348921,0.004532238,0.07238392,0.002222061,0.15932569,Non-Toxic
Profanity,You sound like someone who learned English from a trash bin.,0.008246276,0.26614267,0.10221587,0.6500014,0.02416241,0.6491204,Insult
Identity Attack,Figures you’d say that — your kind always blames others for everything.,0.006576272,0.013576009,0.005512681,0.061626412,0.001459122,0.11388343,Non-Toxic
Insult,"If you had half a brain, you’d know how stupid this sounds.",0.009877442,0.43781817,0.026609946,0.802824,0.041283876,0.85173553,Toxicity
Toxicity,You’re the loudest person here and still the least informed.,0.006550381,0.024267852,0.005290694,0.26957804,0.003128052,0.28547668,Non-Toxic
Severe Toxicity,People like you are the reason laws exist against stupidity.,0.009566744,0.39409557,0.028628819,0.8204276,0.02406851,0.8460273,Toxicity
Profanity,You’re a real piece of work — full of crap and loud about it too.,0.007262398,0.5365423,0.01756594,0.6500014,0.024350211,0.6989911,Toxicity
Threat,Keep talking. You won’t enjoy how this ends for you.,0.032005094,0.01627459,0.00258985,0.026960457,0.002670288,0.112436704,Non-Toxic
Toxicity,This isn't even a conversation anymore — it's just your nonsense echoing.,0.007081157,0.09775851,0.006326634,0.5130944,0.007705689,0.47173777,Insult
Insult,You’re living proof that confidence doesn't require competence.,0.006226737,0.01442999,0.003126319,0.10148193,0.001878738,0.17371799,Non-Toxic
Identity Attack,I’d expect this behavior from someone with your background.,0.010291707,0.03715288,0.03894114,0.1662211,0.007972717,0.27047762,Non-Toxic
Profanity,Cut the crap and stop pretending you know what you're talking about.,0.13582869,0.70864636,0.016862517,0.5015486,0.16960317,0.7510937,Toxicity
Threat,Don’t be surprised if this escalates offline someday.,0.008336896,0.013029462,0.002266119,0.010704896,0.001006126,0.025556687,Non-Toxic
Severe Toxicity,Just knowing you exist makes life more difficult for the rest of us.,0.04098356,0.047674157,0.020178653,0.07745308,0.011749268,0.23379272,Non-Toxic
Insult,You should really stop talking — you’re only digging deeper.,0.010214032,0.025360947,0.0034593,0.1469393,0.003833771,0.23523538,Non-Toxic
Toxicity,"You’ve added nothing of value, as always.",0.005689487,0.014293353,0.001637155,0.15343215,0.001363754,0.20172562,Non-Toxic
Identity Attack,Only someone from your religion would think that’s okay.,0.008453408,0.04667213,0.36598656,0.081508696,0.012207031,0.31825066,Non-Toxic
Threat,You better shut up before you really piss someone off.,0.05430072,0.46460027,0.023796257,0.6099415,0.1597006,0.71760553,Toxicity
